8988,AMERICAN GENERAL FINANCE CORP,10-Q,25598,1994-11-14,https://www.sec.gov/Archives/edgar/data/25598/0000025598-94-000010-index.htm
8991,AMERICAN GREETINGS CORP,10-Q/A,5133,1994-12-20,https://www.sec.gov/Archives/edgar/data/5133/0000950152-94-001258-index.htm
11303,SMITH THOMAS W,13F-HR,926688,1994-11-14,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015681-index.htm
15015,PENN VIRGINIA CORP,10-K405,77159,1995-03-30,https://www.sec.gov/Archives/edgar/data/77159/0000893220-95-000192-index.htm
15589,SMITH THOMAS W,13F-HR,926688,1995-02-10,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015683-index.htm
16346,WISCONSIN POWER & LIGHT CO,DEF 14A,107832,1995-03-27,https://www.sec.gov/Archives/edgar/data/107832/0000950124-95-000862-index.htm
22112,SMITH THOMAS W,13F-HR,926688,1995-05-12,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015686-index.htm
23600,AMERICAN RETIREMENT VILLAS PROPERTIES,10-Q,778643,1995-08-14,https://www.sec.gov/Archives/edgar/data/778643/0000892569-95-000403-index.htm
28575,SMITH THOMAS W,13F-HR,926688,1995-08-14,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015688-index.htm
32931,INTEL CORP,13F-HR,50863,1995-11-13,https://www.sec.gov/Archives/edgar/data/50863/9999999997-04-025181-index.htm
32932,INTEL CORP,13F-HR,50863,1995-11-13,https://www.sec.gov/Archives/edgar/data/50863/9999999997-04-025183-index.htm
32933,INTEL CORP,13F-HR,50863,1995-11-13,https://www.sec.gov/Archives/edgar/data/50863/9999999997-04-025184-index.htm
32934,INTEL CORP,13F-HR,50863,1995-11-13,https://www.sec.gov/Archives/edgar/data/50863/9999999997-04-025187-index.htm
35224,SMITH THOMAS W,13F-HR,926688,1995-11-13,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015691-index.htm
42041,SMITH THOMAS W,13F-HR,926688,1996-02-14,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015695-index.htm
49341,INTEL CORP,13F-HR,50863,1996-05-15,https://www.sec.gov/Archives/edgar/data/50863/9999999997-04-025189-index.htm
51619,NUVEEN SELECT MATURITIES MUNICIPAL FUND,DEF 14A,890119,1996-06-07,https://www.sec.gov/Archives/edgar/data/890119/0000950137-96-000878-index.htm
53542,SECURED INVESTMENT RESOURCES FUND LP,10-K,745481,1996-04-15,https://www.sec.gov/Archives/edgar/data/745481/0000745481-96-000001-index.htm
53799,SMITH THOMAS W,13F-HR,926688,1996-05-14,https://www.sec.gov/Archives/edgar/data/926688/9999999997-05-015701-index.htm
61872,INTEL CORP,13F-HR,50863,1996-08-14,https://www.sec.gov/Archives/edgar/data/50863/9999999997-04-025191-index.htm
6,11:11 Capital Corp.,13F-HR,1463262,2010-02-04,https://www.sec.gov/Archives/edgar/data/1463262/0001463262-10-000001-index.htm
7,1346049 ONTARIO LTD,13F-HR,1230588,2010-01-25,https://www.sec.gov/Archives/edgar/data/1230588/0001085146-10-000041-index.htm
10,"1607 Capital Partners, LLC",13F-HR,1436866,2010-02-16,https://www.sec.gov/Archives/edgar/data/1436866/0001172661-10-000113-index.htm
11,1798 Global Partners (Cayman Islands) Ltd.,13F-HR,1427790,2010-02-16,https://www.sec.gov/Archives/edgar/data/1427790/0000902664-10-000833-index.htm
13,1ST SOURCE BANK,13F-HR,356264,2010-02-03,https://www.sec.gov/Archives/edgar/data/356264/0000034782-10-000005-index.htm
19,"1st Global Advisors, Inc.",13F-HR,1386792,2010-01-28,https://www.sec.gov/Archives/edgar/data/1386792/0001085146-10-000048-index.htm
36,"300 NORTH CAPITAL, LLC",13F-HR,80835,2010-02-11,https://www.sec.gov/Archives/edgar/data/80835/0000080835-10-000001-index.htm
41,3G Capital Partners Ltd.,13F-HR,1421669,2010-02-16,https://www.sec.gov/Archives/edgar/data/1421669/0000902664-10-000703-index.htm
54,7x7 Asset Management LLC,13F-HR,1388558,2010-02-11,https://www.sec.gov/Archives/edgar/data/1388558/0000906344-10-000113-index.htm
79,ABERDEEN ASSET MANAGEMENT PLC/UK,13F-HR,1080434,2010-02-16,https://www.sec.gov/Archives/edgar/data/1080434/0001080434-10-000002-index.htm
86,ABNER HERRMAN & BROCK LLC,13F-HR,1038661,2010-01-13,https://www.sec.gov/Archives/edgar/data/1038661/0001038661-10-000001-index.htm
88,"ABRAMS BISON INVESTMENTS, LLC",13F-HR,1317588,2010-02-16,https://www.sec.gov/Archives/edgar/data/1317588/0000919574-10-001193-index.htm
